Phase,Week,Week_num,WeekStartDate,WeekEndDate,Stratum,NumOfSites,NumOfTows,RawCatch,TotalRawSampleVolume,AdjCatch,TotalEffSampleVolume,StratumVolume,nHat,nVar,nSE,lowCI,uppCI,SpatialCoverage
17_3,Week.6,6,2017-08-07,2017-08-11,Total,23,120,7,389561.5014,7,281349.9732,NA,62068.60188,1449772492,38075.87809,17476,160170,Partial
17_3,Week.7,7,2017-08-14,2017-08-18,Western Delta,7,35,4,167373.3953,4,120880.7855,279273078,13773.90634,112765327,10619.10199,2860,41603,
17_3,Week.7,7,2017-08-14,2017-08-18,Suisun Bay Marsh,4,16,4,30210.24823,4,21818.51261,220105238,49180.62986,1154773855,33981.96367,11892,137665,
17_3,Week.7,7,2017-08-14,2017-08-18,Lower Sacramento,2,10,0,21592.13195,0,15594.31752,117440529,0,NA,NA,NA,NA,
17_3,Week.7,7,2017-08-14,2017-08-18,Cache Slough LI,2,10,0,16494.86023,0,11912.95461,51786023,0,NA,NA,NA,NA,
17_3,Week.7,7,2017-08-14,2017-08-18,Sac DW Ship Channel,2,8,1,15409.42375,1,11129.02827,14472933,1300.633194,1691930.515,1300.742294,180,4703,
17_3,Week.7,7,2017-08-14,2017-08-18,Upper Sacramento,2,14,0,45646.96796,0,32967.25464,50673600,0,NA,NA,NA,NA,
17_3,Week.7,7,2017-08-14,2017-08-18,Lower San Joaquin,4,20,0,40188.78272,0,29025.23197,109289061,0,NA,NA,NA,NA,
17_3,Week.7,7,2017-08-14,2017-08-18,Southern Delta,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17_3,Week.7,7,2017-08-14,2017-08-18,Total,23,113,9,336915.8102,9,243328.0851,NA,64255.1694,1269231113,35626.26998,20371,155024,Partial
17_3,Week.8,8,2017-08-21,2017-08-25,Western Delta,8,49,3,217979.3017,3,157429.4956,279273078,7019.303099,44183450.41,6647.063292,1062,24453,
17_3,Week.8,8,2017-08-21,2017-08-25,Suisun Bay Marsh,3,9,6,21202.91148,6,15313.21385,220105238,151534.1347,8168635881,90380.50609,44140,383715,
17_3,Week.8,8,2017-08-21,2017-08-25,Lower Sacramento,2,7,1,17005.39618,1,12281.67502,117440529,14462.69278,470019032.5,21679.92234,957,67339,
17_3,Week.8,8,2017-08-21,2017-08-25,Cache Slough LI,2,9,0,19814.52331,0,14310.48906,51786023,0,NA,NA,NA,NA,
17_3,Week.8,8,2017-08-21,2017-08-25,Sac DW Ship Channel,2,7,1,18212.14813,1,13153.21809,14472933,1100.417276,1211127.035,1100.512169,152,3979,
17_3,Week.8,8,2017-08-21,2017-08-25,Upper Sacramento,2,15,0,66241.28016,0,47840.92456,50673600,0,NA,NA,NA,NA,
17_3,Week.8,8,2017-08-21,2017-08-25,Lower San Joaquin,4,16,1,39546.82169,1,28561.59344,109289061,3865.194711,34301247.27,5856.726669,250,18104,
17_3,Week.8,8,2017-08-21,2017-08-25,Southern Delta,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17_3,Week.8,8,2017-08-21,2017-08-25,Total,23,112,12,400002.3826,12,288890.6097,NA,177981.7426,8718350738,93372.10899,59962,414273,Partial
17_3,Week.9,9,2017-08-28,2017-09-01,Western Delta,8,64,0,286385.726,0,206834.1354,279273078,0,NA,NA,NA,NA,
17_3,Week.9,9,2017-08-28,2017-09-01,Suisun Bay Marsh,4,17,1,34252.52466,1,24737.93448,220105238,8909.372102,80711639.87,8983.96571,1215,32393,
17_3,Week.9,9,2017-08-28,2017-09-01,Lower Sacramento,2,7,2,17820.90573,2,12870.65414,117440529,31220.95573,993405936.6,31518.34286,4250,113602,
17_3,Week.9,9,2017-08-28,2017-09-01,Cache Slough LI,2,10,0,20385.94164,0,14723.18008,51786023,0,NA,NA,NA,NA,
17_3,Week.9,9,2017-08-28,2017-09-01,Sac DW Ship Channel,2,10,0,20327.75515,0,14681.1565,14472933,0,NA,NA,NA,NA,
17_3,Week.9,9,2017-08-28,2017-09-01,Upper Sacramento,2,16,0,68812.83116,0,49698.15584,50673600,0,NA,NA,NA,NA,
17_3,Week.9,9,2017-08-28,2017-09-01,Lower San Joaquin,4,20,0,39244.20698,0,28343.03838,109289061,0,NA,NA,NA,NA,
17_3,Week.9,9,2017-08-28,2017-09-01,Southern Delta,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17_3,Week.9,9,2017-08-28,2017-09-01,Total,24,144,3,487229.8913,3,351888.2549,NA,40130.32783,1074117576,32773.73303,7656,126179,Partial
17_3,Week.10,10,2017-09-04,2017-09-08,Western Delta,8,47,6,198935.4686,6,143675.6162,279273078,18792.60357,167044582.9,12924.57283,4573,52435,
17_3,Week.10,10,2017-09-04,2017-09-08,Suisun Bay Marsh,4,17,2,30617.66602,2,22112.75879,220105238,19907.68398,198255818.1,14080.33444,4665,56632,
17_3,Week.10,10,2017-09-04,2017-09-08,Lower Sacramento,2,10,1,22027.18271,1,15908.52084,117440529,7383.377701,54524829.3,7384.092991,1021,26696,
17_3,Week.10,10,2017-09-04,2017-09-08,Cache Slough LI,2,10,0,19643.67069,0,14187.0955,51786023,0,NA,NA,NA,NA,
17_3,Week.10,10,2017-09-04,2017-09-08,Sac DW Ship Channel,2,10,0,20371.22653,0,14712.55249,14472933,0,NA,NA,NA,NA,
17_3,Week.10,10,2017-09-04,2017-09-08,Upper Sacramento,2,16,0,66062.77311,0,47712.0028,50673600,0,NA,NA,NA,NA,
17_3,Week.10,10,2017-09-04,2017-09-08,Lower San Joaquin,4,20,0,33523.84553,0,24211.66622,109289061,0,NA,NA,NA,NA,
17_3,Week.10,10,2017-09-04,2017-09-08,Southern Delta,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17_3,Week.10,10,2017-09-04,2017-09-08,Total,24,130,9,391181.8332,9,282520.2128,NA,46083.66525,419825230.2,20489.63714,18317,96806,Partial
17_3,Week.11,11,2017-09-11,2017-09-15,Western Delta,8,53,4,225499.8499,4,162861.0027,279273078,11776.1445,131552922.6,11469.65225,1702,41820,
17_3,Week.11,11,2017-09-11,2017-09-15,Suisun Bay Marsh,4,9,4,17502.11563,4,12640.41685,220105238,69647.87032,1212929709,34827.1404,24679,157242,
17_3,Week.11,11,2017-09-11,2017-09-15,Lower Sacramento,2,10,0,21366.01339,0,15431.00967,117440529,0,NA,NA,NA,NA,
17_3,Week.11,11,2017-09-11,2017-09-15,Cache Slough LI,2,10,0,15500.41036,0,11194.74081,51786023,0,NA,NA,NA,NA,
17_3,Week.11,11,2017-09-11,2017-09-15,Sac DW Ship Channel,2,10,0,20525.22978,0,14823.77706,14472933,0,NA,NA,NA,NA,
17_3,Week.11,11,2017-09-11,2017-09-15,Upper Sacramento,2,16,0,50704.81215,0,36620.14211,50673600,0,NA,NA,NA,NA,
17_3,Week.11,11,2017-09-11,2017-09-15,Lower San Joaquin,4,19,0,32526.02578,0,23491.01862,109289061,0,NA,NA,NA,NA,
17_3,Week.11,11,2017-09-11,2017-09-15,Southern Delta,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17_3,Week.11,11,2017-09-11,2017-09-15,Total,24,127,8,383624.457,8,277062.1078,NA,81424.01482,1344482631,36667.18739,31981,172354,Partial
17_3,Week.12,12,2017-09-18,2017-09-22,Western Delta,4,23,2,93656.55473,2,67640.84508,279273078,8258.893644,34144745.69,5843.350553,1934,23500,
17_3,Week.12,12,2017-09-18,2017-09-22,Suisun Bay Marsh,4,16,2,31611.10493,2,22830.24245,220105238,19282.79358,186037234.3,13639.54671,4518,54858,
17_3,Week.12,12,2017-09-18,2017-09-22,Lower Sacramento,2,4,17,8905.903536,17,6432.041442,117440529,313294.7382,31420055378,177257.032,97068,765985,
17_3,Week.12,12,2017-09-18,2017-09-22,Cache Slough LI,2,10,0,18689.91204,0,13498.26981,51786023,0,NA,NA,NA,NA,
17_3,Week.12,12,2017-09-18,2017-09-22,Sac DW Ship Channel,2,10,0,18868.59962,0,13627.32195,14472933,0,NA,NA,NA,NA,
17_3,Week.12,12,2017-09-18,2017-09-22,Upper Sacramento,2,16,0,70723.21285,0,51077.87595,50673600,0,NA,NA,NA,NA,
17_3,Week.12,12,2017-09-18,2017-09-22,Lower San Joaquin,4,19,0,36574.25565,0,26414.7402,109289061,0,NA,NA,NA,NA,
17_3,Week.12,12,2017-09-18,2017-09-22,Southern Delta,4,31,0,108815.316,0,78588.83934,255069170,0,NA,NA,NA,NA,
17_3,Week.12,12,2017-09-18,2017-09-22,Total,24,129,21,387844.8594,21,280110.1762,NA,340836.4254,31640237358,177877.0288,115473,790683,Full
17_3,Week.13,13,2017-09-25,2017-09-29,Western Delta,4,32,0,109882.162,0,79359.33923,279273078,0,NA,NA,NA,NA,
17_3,Week.13,13,2017-09-25,2017-09-29,Suisun Bay Marsh,3,13,2,26025.87543,2,18796.46559,220105238,23422.94605,274499032.6,16568.01233,5488,66636,
17_3,Week.13,13,2017-09-25,2017-09-29,Lower Sacramento,2,7,1,15525.01044,1,11212.50754,117440529,11804.09339,373799175.4,19333.88671,656,57654,
17_3,Week.13,13,2017-09-25,2017-09-29,Cache Slough LI,2,10,0,28028.25468,0,20242.62838,51786023,0,NA,NA,NA,NA,
17_3,Week.13,13,2017-09-25,2017-09-29,Sac DW Ship Channel,2,9,0,17760.248,0,12826.84578,14472933,0,NA,NA,NA,NA,
17_3,Week.13,13,2017-09-25,2017-09-29,Upper Sacramento,2,16,0,61901.21918,0,44706.43607,50673600,0,NA,NA,NA,NA,
17_3,Week.13,13,2017-09-25,2017-09-29,Lower San Joaquin,4,19,1,34255.78221,1,24740.28715,109289061,4425.277915,19573996.88,4424.250996,612,15997,
17_3,Week.13,13,2017-09-25,2017-09-29,Southern Delta,4,32,0,95339.13292,0,68856.04044,255069170,0,NA,NA,NA,NA,
17_3,Week.13,13,2017-09-25,2017-09-29,Total,23,138,4,388717.6849,4,280740.5502,NA,39652.31736,667872205,25843.22358,10350,106623,Full
17_3,Week.14,14,2017-10-02,2017-10-06,Western Delta,3,11,1,44477.36888,1,32122.54419,279273078,8693.702553,75614987.46,8695.687866,1202,31436,
17_3,Week.14,14,2017-10-02,2017-10-06,Suisun Bay Marsh,4,20,0,40506.8146,0,29254.92166,220105238,0,NA,NA,NA,NA,
17_3,Week.14,14,2017-10-02,2017-10-06,Lower Sacramento,2,8,1,16298.73356,1,11771.30757,117440529,9978.8064,99637228.48,9981.844943,1379,36085,
17_3,Week.14,14,2017-10-02,2017-10-06,Cache Slough LI,2,10,0,24411.03172,0,17630.18957,51786023,0,NA,NA,NA,NA,
17_3,Week.14,14,2017-10-02,2017-10-06,Sac DW Ship Channel,2,10,0,20737.19486,0,14976.86296,14472933,0,NA,NA,NA,NA,
17_3,Week.14,14,2017-10-02,2017-10-06,Upper Sacramento,2,16,0,52639.79392,0,38017.62894,50673600,0,NA,NA,NA,NA,
17_3,Week.14,14,2017-10-02,2017-10-06,Lower San Joaquin,4,20,0,41832.60736,0,30212.43865,109289061,0,NA,NA,NA,NA,
17_3,Week.14,14,2017-10-02,2017-10-06,Southern Delta,4,32,0,98324.50447,0,71012.14212,255069170,0,NA,NA,NA,NA,
17_3,Week.14,14,2017-10-02,2017-10-06,Total,23,127,2,339228.0494,2,244998.0356,NA,18672.50895,175252215.9,13238.28599,4361,53206,Full
17_3,Week.15,15,2017-10-09,2017-10-13,Western Delta,1,9,0,32999.4931,0,23832.96724,279273078,0,NA,NA,NA,NA,
17_3,Week.15,15,2017-10-09,2017-10-13,Suisun Bay Marsh,4,18,1,36084.78143,1,26061.23103,220105238,8448.122676,71451540.14,8452.901285,1167,30555,
17_3,Week.15,15,2017-10-09,2017-10-13,Lower Sacramento,2,5,38,9104.389126,38,6575.392147,117440529,859348.0779,6.23E+11,789263.0875,136652,2931375,
17_3,Week.15,15,2017-10-09,2017-10-13,Cache Slough LI,2,10,0,17995.46522,0,12996.72488,51786023,0,NA,NA,NA,NA,
17_3,Week.15,15,2017-10-09,2017-10-13,Sac DW Ship Channel,2,10,0,19322.18469,0,13954.91116,14472933,0,NA,NA,NA,NA,
17_3,Week.15,15,2017-10-09,2017-10-13,Upper Sacramento,2,16,0,57039.83866,0,41195.43903,50673600,0,NA,NA,NA,NA,
17_3,Week.15,15,2017-10-09,2017-10-13,Lower San Joaquin,4,20,0,40135.20172,0,28986.53458,109289061,0,NA,NA,NA,NA,
17_3,Week.15,15,2017-10-09,2017-10-13,Southern Delta,4,32,0,107041.7432,0,77307.92564,255069170,0,NA,NA,NA,NA,
17_3,Week.15,15,2017-10-09,2017-10-13,Total,21,120,39,319723.0971,39,230911.1257,NA,867796.2005,6.23E+11,789308.3509,140159,2940406,Full
17_3,Week.16,16,2017-10-16,2017-10-20,Western Delta,4,33,0,127872.5724,0,92352.41341,279273078,0,NA,NA,NA,NA,
17_3,Week.16,16,2017-10-16,2017-10-20,Suisun Bay Marsh,4,19,1,35052.08348,1,25315.39362,220105238,8696.393443,75658342.86,8698.180434,1202,31445,
17_3,Week.16,16,2017-10-16,2017-10-20,Lower Sacramento,2,10,0,19402.05071,0,14012.59218,117440529,0,NA,NA,NA,NA,
17_3,Week.16,16,2017-10-16,2017-10-20,Cache Slough LI,2,10,0,18256.96745,0,13185.58761,51786023,0,NA,NA,NA,NA,
17_3,Week.16,16,2017-10-16,2017-10-20,Sac DW Ship Channel,2,10,0,18422.76526,0,13305.33047,14472933,0,NA,NA,NA,NA,
17_3,Week.16,16,2017-10-16,2017-10-20,Upper Sacramento,2,16,0,62510.15545,0,45146.22338,50673600,0,NA,NA,NA,NA,
17_3,Week.16,16,2017-10-16,2017-10-20,Lower San Joaquin,4,20,0,43705.92042,0,31565.38697,109289061,0,NA,NA,NA,NA,
17_3,Week.16,16,2017-10-16,2017-10-20,Southern Delta,4,28,0,93050.98833,0,67203.49158,255069170,0,NA,NA,NA,NA,
17_3,Week.16,16,2017-10-16,2017-10-20,Total,24,146,1,418273.5035,1,302086.4192,NA,8696.393443,75658342.86,8698.180434,1202,31445,Full
17_3,Week.17,17,2017-10-23,2017-10-27,Western Delta,4,28,0,102384.8659,0,73944.62537,279273078,0,NA,NA,NA,NA,
17_3,Week.17,17,2017-10-23,2017-10-27,Suisun Bay Marsh,4,17,1,29816.42226,1,21534.08275,220105238,10225.63939,104701267.6,10232.36373,1413,36986,
17_3,Week.17,17,2017-10-23,2017-10-27,Lower Sacramento,2,7,1,19124.37307,1,13812.04722,117440529,17203.57415,565449100.9,23779.17368,1330,76461,
17_3,Week.17,17,2017-10-23,2017-10-27,Cache Slough LI,2,10,0,22705.2014,0,16398.20101,51786023,0,NA,NA,NA,NA,
17_3,Week.17,17,2017-10-23,2017-10-27,Sac DW Ship Channel,2,10,0,25349.20469,0,18307.75895,14472933,0,NA,NA,NA,NA,
17_3,Week.17,17,2017-10-23,2017-10-27,Upper Sacramento,2,16,0,57695.95317,0,41669.29951,50673600,0,NA,NA,NA,NA,
17_3,Week.17,17,2017-10-23,2017-10-27,Lower San Joaquin,4,20,0,39602.42461,0,28601.75111,109289061,0,NA,NA,NA,NA,
17_3,Week.17,17,2017-10-23,2017-10-27,Southern Delta,4,24,0,94971.62406,0,68590.61738,255069170,0,NA,NA,NA,NA,
17_3,Week.17,17,2017-10-23,2017-10-27,Total,24,132,2,391650.0692,2,282858.3833,NA,27429.21353,670150368.4,25887.26267,4174,95333,Full
17_3,Week.18,18,2017-10-30,2017-11-03,Western Delta,4,32,0,131149.1011,0,94718.79524,279273078,0,NA,NA,NA,NA,
17_3,Week.18,18,2017-10-30,2017-11-03,Suisun Bay Marsh,4,18,1,36259.84639,1,26187.66684,220105238,8405.415973,70667939.15,8406.422494,1162,30391,
17_3,Week.18,18,2017-10-30,2017-11-03,Lower Sacramento,2,10,0,21339.72837,0,15412.02605,117440529,0,NA,NA,NA,NA,
17_3,Week.18,18,2017-10-30,2017-11-03,Cache Slough LI,2,10,0,21208.64027,0,15317.3513,51786023,0,NA,NA,NA,NA,
17_3,Week.18,18,2017-10-30,2017-11-03,Sac DW Ship Channel,2,10,0,21135.51399,0,15264.53789,14472933,0,NA,NA,NA,NA,
17_3,Week.18,18,2017-10-30,2017-11-03,Upper Sacramento,2,16,0,60716.03442,0,43850.46931,50673600,0,NA,NA,NA,NA,
17_3,Week.18,18,2017-10-30,2017-11-03,Lower San Joaquin,4,19,0,46176.71219,0,33349.84769,109289061,0,NA,NA,NA,NA,
17_3,Week.18,18,2017-10-30,2017-11-03,Southern Delta,4,32,0,134672.3046,0,97263.33108,255069170,0,NA,NA,NA,NA,
17_3,Week.18,18,2017-10-30,2017-11-03,Total,24,147,1,472657.8813,1,341364.0254,NA,8405.415973,70667939.15,8406.422494,1162,30391,Full
17_3,Week.19,19,2017-11-06,2017-11-10,Western Delta,4,30,0,131240.4247,0,94784.75117,279273078,0,NA,NA,NA,NA,
17_3,Week.19,19,2017-11-06,2017-11-10,Suisun Bay Marsh,4,20,0,39738.90452,0,28700.31993,220105238,0,NA,NA,NA,NA,
17_3,Week.19,19,2017-11-06,2017-11-10,Lower Sacramento,2,9,1,21158.42914,1,15281.08771,117440529,7685.287905,59070039.75,7685.703595,1063,27786,
17_3,Week.19,19,2017-11-06,2017-11-10,Cache Slough LI,2,10,0,18833.55293,0,13602.01045,51786023,0,NA,NA,NA,NA,
17_3,Week.19,19,2017-11-06,2017-11-10,Sac DW Ship Channel,2,10,0,22079.07877,0,15946.00133,14472933,0,NA,NA,NA,NA,
17_3,Week.19,19,2017-11-06,2017-11-10,Upper Sacramento,2,16,0,59604.9869,0,43048.04609,50673600,0,NA,NA,NA,NA,
17_3,Week.19,19,2017-11-06,2017-11-10,Lower San Joaquin,4,18,0,39752.38401,0,28710.05512,109289061,0,NA,NA,NA,NA,
17_3,Week.19,19,2017-11-06,2017-11-10,Southern Delta,4,32,0,125540.6195,0,90668.22517,255069170,0,NA,NA,NA,NA,
17_3,Week.19,19,2017-11-06,2017-11-10,Total,24,145,1,457948.3804,1,330740.497,NA,7685.287905,59070039.75,7685.703595,1063,27786,Full
17_3,Week.20,20,2017-11-13,2017-11-17,Western Delta,4,33,0,117869.7748,0,85128.17071,279273078,0,NA,NA,NA,NA,
17_3,Week.20,20,2017-11-13,2017-11-17,Suisun Bay Marsh,4,20,0,37713.27313,0,27237.36393,220105238,0,NA,NA,NA,NA,
17_3,Week.20,20,2017-11-13,2017-11-17,Lower Sacramento,2,10,0,23864.10113,0,17235.18415,117440529,0,NA,NA,NA,NA,
17_3,Week.20,20,2017-11-13,2017-11-17,Cache Slough LI,2,10,0,20205.42872,0,14592.80963,51786023,0,NA,NA,NA,NA,
17_3,Week.20,20,2017-11-13,2017-11-17,Sac DW Ship Channel,2,10,0,23051.62447,0,16648.39545,14472933,0,NA,NA,NA,NA,
17_3,Week.20,20,2017-11-13,2017-11-17,Upper Sacramento,2,16,0,61168.27154,0,44177.085,50673600,0,NA,NA,NA,NA,
17_3,Week.20,20,2017-11-13,2017-11-17,Lower San Joaquin,4,20,0,36523.70754,0,26378.23322,109289061,0,NA,NA,NA,NA,
17_3,Week.20,20,2017-11-13,2017-11-17,Southern Delta,4,32,0,112492.1296,0,81244.31581,255069170,0,NA,NA,NA,NA,
17_3,Week.20,20,2017-11-13,2017-11-17,Total,24,151,0,432888.3109,0,312641.5579,NA,0,0,NA,NA,NA,Full
17_3,Week.21,21,2017-11-20,2017-11-24,Western Delta,4,32,0,125162.1826,0,90394.90966,279273078,0,NA,NA,NA,NA,
17_3,Week.21,21,2017-11-20,2017-11-24,Suisun Bay Marsh,4,20,0,37100.29302,0,26794.65607,220105238,0,NA,NA,NA,NA,
17_3,Week.21,21,2017-11-20,2017-11-24,Lower Sacramento,2,8,1,18672.47294,1,13485.6749,117440529,8711.217562,75925804.86,8713.541465,1204,31500,
17_3,Week.21,21,2017-11-20,2017-11-24,Cache Slough LI,3,11,0,18926.89844,0,13669.42665,51786023,0,NA,NA,NA,NA,
17_3,Week.21,21,2017-11-20,2017-11-24,Sac DW Ship Channel,2,10,0,17464.03605,0,12612.91493,14472933,0,NA,NA,NA,NA,
17_3,Week.21,21,2017-11-20,2017-11-24,Upper Sacramento,2,16,0,59600.26908,0,43044.63878,50673600,0,NA,NA,NA,NA,
17_3,Week.21,21,2017-11-20,2017-11-24,Lower San Joaquin,4,20,0,38036.78106,0,27471.00854,109289061,0,NA,NA,NA,NA,
17_3,Week.21,21,2017-11-20,2017-11-24,Southern Delta,4,32,0,105573.7778,0,76247.72845,255069170,0,NA,NA,NA,NA,
17_3,Week.21,21,2017-11-20,2017-11-24,Total,25,149,1,420536.711,1,303720.958,NA,8711.217562,75925804.86,8713.541465,1204,31500,Full
17_3,Week.22,22,2017-11-27,2017-12-01,Western Delta,4,32,0,138782.5401,0,100231.8345,279273078,0,NA,NA,NA,NA,
17_3,Week.22,22,2017-11-27,2017-12-01,Suisun Bay Marsh,4,14,3,29106.95142,3,21021.68713,220105238,31412.11086,329032106.8,18139.24218,9506,77845,
17_3,Week.22,22,2017-11-27,2017-12-01,Lower Sacramento,2,10,0,21161.46203,0,15283.27813,117440529,0,NA,NA,NA,NA,
17_3,Week.22,22,2017-11-27,2017-12-01,Cache Slough LI,2,10,0,20063.22002,0,14490.10335,51786023,0,NA,NA,NA,NA,
17_3,Week.22,22,2017-11-27,2017-12-01,Sac DW Ship Channel,2,10,0,17696.55737,0,12780.84699,14472933,0,NA,NA,NA,NA,
17_3,Week.22,22,2017-11-27,2017-12-01,Upper Sacramento,2,17,0,71754.39435,0,51822.61814,50673600,0,NA,NA,NA,NA,
17_3,Week.22,22,2017-11-27,2017-12-01,Lower San Joaquin,5,21,0,39015.05554,0,28177.54011,109289061,0,NA,NA,NA,NA,
17_3,Week.22,22,2017-11-27,2017-12-01,Southern Delta,4,32,0,83154.67877,0,60056.15689,255069170,0,NA,NA,NA,NA,
17_3,Week.22,22,2017-11-27,2017-12-01,Total,25,146,3,420734.8596,3,303864.0653,NA,31412.11086,329032106.8,18139.24218,9506,77845,Full
18_1,Week.1,1,2017-12-04,2017-12-07,Western Delta,3,15,0,66033.35892,0,47690.75922,190166275,0,NA,NA,NA,NA,
18_1,Week.1,1,2017-12-04,2017-12-07,Suisun Bay,8,40,0,87849.33477,0,63446.74178,285840678,0,NA,NA,NA,NA,
18_1,Week.1,1,2017-12-04,2017-12-07,Suisun Marsh,2,10,0,17628.8229,0,12731.92765,76278718,0,NA,NA,NA,NA,
18_1,Week.1,1,2017-12-04,2017-12-07,Lower Sacramento,3,15,0,32025.59946,0,23129.59961,88162170,0,NA,NA,NA,NA,
18_1,Week.1,1,2017-12-04,2017-12-07,Cache Slough LI,3,12,1,24383.73574,1,17610.47581,33420492,1898.049689,3605008.464,1898.685984,262,6864,
18_1,Week.1,1,2017-12-04,2017-12-07,Sac DW Ship Channel,2,10,0,24885.17302,0,17972.62496,30411491,0,NA,NA,NA,NA,
18_1,Week.1,1,2017-12-04,2017-12-07,Upper Sacramento,2,12,0,53115.21577,0,38360.98917,53100572,0,NA,NA,NA,NA,
18_1,Week.1,1,2017-12-04,2017-12-07,Lower San Joaquin,6,26,0,44001.96389,0,31779.19615,122096565,0,NA,NA,NA,NA,
18_1,Week.1,1,2017-12-04,2017-12-07,Southern Delta,2,12,0,48444.97451,0,34988.03715,169844010,0,NA,NA,NA,NA,
18_1,Week.1,1,2017-12-04,2017-12-07,Eastern Delta,2,12,0,31466.20034,0,22725.58914,48788659,0,NA,NA,NA,NA,
18_1,Week.1,1,2017-12-04,2017-12-07,Total,33,164,1,429834.3793,1,310435.9406,NA,1898.049689,3605008.464,1898.685984,262,6864,Full
18_1,Week.2,2,2017-12-11,2017-12-14,Western Delta,2,12,0,57590.07172,0,41592.82957,190166275,0,NA,NA,NA,NA,
18_1,Week.2,2,2017-12-11,2017-12-14,Suisun Bay,5,25,0,52565.65668,0,37964.08538,285840678,0,NA,NA,NA,NA,
18_1,Week.2,2,2017-12-11,2017-12-14,Suisun Marsh,3,13,1,26983.25669,1,19487.90761,76278718,3915.913532,15350573.58,3917.980804,541,14163,
18_1,Week.2,2,2017-12-11,2017-12-14,Lower Sacramento,3,15,0,27427.82735,0,19808.98642,88162170,0,NA,NA,NA,NA,
18_1,Week.2,2,2017-12-11,2017-12-14,Cache Slough LI,3,15,0,22178.82705,0,16018.04176,33420492,0,NA,NA,NA,NA,
18_1,Week.2,2,2017-12-11,2017-12-14,Sac DW Ship Channel,3,16,0,23955.08774,0,17300.8967,30411491,0,NA,NA,NA,NA,
18_1,Week.2,2,2017-12-11,2017-12-14,Upper Sacramento,2,12,0,37195.99744,0,26863.77593,53100572,0,NA,NA,NA,NA,
18_1,Week.2,2,2017-12-11,2017-12-14,Lower San Joaquin,6,30,0,61851.68203,0,44670.65924,122096565,0,NA,NA,NA,NA,
18_1,Week.2,2,2017-12-11,2017-12-14,Southern Delta,2,12,0,39690.71532,0,28665.51662,169844010,0,NA,NA,NA,NA,
18_1,Week.2,2,2017-12-11,2017-12-14,Eastern Delta,2,11,0,47027.60542,0,33964.38169,48788659,0,NA,NA,NA,NA,
18_1,Week.2,2,2017-12-11,2017-12-14,Total,31,161,1,396466.7274,1,286337.0809,NA,3915.913532,15350573.58,3917.980804,541,14163,Full
18_1,Week.3,3,2017-12-18,2017-12-22,Western Delta,4,15,0,53007.44719,0,38283.1563,190166275,0,NA,NA,NA,NA,
18_1,Week.3,3,2017-12-18,2017-12-22,Suisun Bay,4,20,0,41189.29837,0,29747.8266,285840678,0,NA,NA,NA,NA,
18_1,Week.3,3,2017-12-18,2017-12-22,Suisun Marsh,3,15,0,32205.55074,0,23259.56442,76278718,0,NA,NA,NA,NA,
18_1,Week.3,3,2017-12-18,2017-12-22,Lower Sacramento,3,15,0,31903.61001,0,23041.49612,88162170,0,NA,NA,NA,NA,
18_1,Week.3,3,2017-12-18,2017-12-22,Cache Slough LI,3,15,0,24122.57049,0,17421.85646,33420492,0,NA,NA,NA,NA,
18_1,Week.3,3,2017-12-18,2017-12-22,Sac DW Ship Channel,2,10,0,17847.19075,0,12889.63776,30411491,0,NA,NA,NA,NA,
18_1,Week.3,3,2017-12-18,2017-12-22,Upper Sacramento,2,12,0,41123.24884,0,29700.12416,53100572,0,NA,NA,NA,NA,
18_1,Week.3,3,2017-12-18,2017-12-22,Lower San Joaquin,6,30,0,53916.30226,0,38939.55163,122096565,0,NA,NA,NA,NA,
18_1,Week.3,3,2017-12-18,2017-12-22,Southern Delta,2,12,0,40071.4437,0,28940.48712,169844010,0,NA,NA,NA,NA,
18_1,Week.3,3,2017-12-18,2017-12-22,Eastern Delta,2,12,0,40629.89925,0,29343.81613,48788659,0,NA,NA,NA,NA,
18_1,Week.3,3,2017-12-18,2017-12-22,Total,31,156,0,376016.5616,0,271567.5167,NA,0,0,NA,NA,NA,Full
18_1,Week.4,4,2017-12-26,2017-12-29,Western Delta,2,12,0,56594.34129,0,40873.69093,190166275,0,NA,NA,NA,NA,
18_1,Week.4,4,2017-12-26,2017-12-29,Suisun Bay,5,25,0,51238.93721,0,37005.8991,285840678,0,NA,NA,NA,NA,
18_1,Week.4,4,2017-12-26,2017-12-29,Suisun Marsh,3,15,0,25458.8941,0,18386.97907,76278718,0,NA,NA,NA,NA,
18_1,Week.4,4,2017-12-26,2017-12-29,Lower Sacramento,2,8,0,15561.74207,0,11239.03594,88162170,0,NA,NA,NA,NA,
18_1,Week.4,4,2017-12-26,2017-12-29,Cache Slough LI,3,15,0,25614.75078,0,18499.54223,33420492,0,NA,NA,NA,NA,
18_1,Week.4,4,2017-12-26,2017-12-29,Sac DW Ship Channel,3,15,0,26325.373,0,19012.76939,30411491,0,NA,NA,NA,NA,
